Class,Sentences
neg,যারা ধর্মের নামে হিংসা বিদ্বেষ আর ঘৃনা অশান্তি চড়ায় তাদের বক্তৃতা দেয়া চিরতরে বন্ধ করে দেয়া উচিত
neg,উনি বেশ বিতর্কিত কর্মকান্ড করে বেড়াচ্ছেন । থামানোই উচিৎ 
neg,"বিবিসি তোমরা একটু বেশি বেড়ে গেছো,,তোমাদের লাগাম টেনে ধরতে হবে।না হয় দেশে অশান্তি নেমে আসবে"
neg,প্রতিবন্ধি প্রশাসন  বিভেকহীন রাজনীতিবীধদের লিলাখেলার ফসল হিসেবে তলা বিহীন দেশের অবস্থা এমনি চলবে।#আর্তচিৎকার
pos,হেফাজতে ইসলাম বাংলাদেশ এর জেলা পর্যায়ের সকল দায়িত্বশীল এবং মামুনুল হক কে সকলে ভালবাসেন 
neg,"তাদের উদেশ্য সফল, শাল্লার ঘটনা ঘটিয়েছে যাতে মামুনুল হক কে বিকৃত করাযায়, শাল্লার ঘটনার মিডিয়ার অপপ্রচার ছিল বিশেষ করে বিবিসি।"
neg,মামুনুল হক কে নিয়ে বিবিসির এতো এর্লাজি কেন?
ntr,সরকারের উচিৎ আইন প্রনয়নের মাধ্যমে ওয়াজ মাহফিলের লাগাম টেনে ধরা
neg,বিবিসির অন্ডহীন দাদারা সেই সুবাদে মনের খুশিতে আর ঠ্যালায় এক লিটার করে গোমূত্র পান করিতে করিতে পার। বিল তোমাদের পীরশাব মোদি দিবে..
ntr,সাবীর মোস্তফা আপনি কিন্তু দিন দিন লীগ হয়ে যাচ্ছেন।
ntr,ঐ হামলায় তো মামুনুল হকের সম্পর্ক নেই। তাহলে মাহফিল বন্ধ করা হলো কেন??
neg, জঙ্গি ও। আল্লাহ মামুনুল হকের বিচার করবেন। 
ntr,শুধু জামালগঞ্জ না সারাদেশে আটকে দিতে হবে।
ntr,"দেশের শান্তি, সমৃদ্ধি বজায় রাখতে হলে অনিদিষ্ট কালের জন্য সকল প্রকার ওয়াজ বন্ধ রাখতে হবে।অন্যথায় সমাজের শান্তি শৃৃ্ঙ্খলা বিঘ্নত হবে।"
ntr,অথচ হিন্দু পল্লিতে হামলা হতে পারে জানার পরও প্রশাসন ছিল নিরব ।এটা দ্বারা কি বোঝা যায়?
neg,"বাংলাদেশের অস্তিত্ব স্বীকার না করা, মামুনুল হককে বাংলাদেশের কোনো জায়গায় মাহফিল করার অনুমতি দেওয়া উচিত না।"
neg,মাদার অভ মাফিয়াদের ষড়যন্ত্র
pos,ইনশাল্লাহ রুখে দিবে ইসলাম প্রিয় জনতা
ntr,"এটা মাহফিল হবে না,এটা জনসভা হবে,কারন এখানে ওয়াজ বা মাহফিলের কিছুই হয়না,তাদের রাজনৈতিক বক্তব্য থাকে পূরাটা সময় ধরে৷"
